Input order,Input size,Algorithm,Running time,Comparisons
Reverse data,1000,insertion-sort,1202,1000999
Reverse data,1000,selection-sort,1006,1000999
Reverse data,1000,shaker-sort,3096,1001001
Reverse data,1000,shell-sort,40,32447
Reverse data,1000,heap-sort,107,43914
Reverse data,1000,merge-sort,154,34924
Reverse data,1000,quick-sort,55,29041
Reverse data,1000,counting-sort,13,6003
Reverse data,1000,radix-sort,47,11043
Reverse data,1000,flash-sort,27,10361
Reverse data,3000,bubble-sort,28632,9002999
Reverse data,3000,insertion-sort,9869,9002999
Reverse data,3000,selection-sort,10485,9002999
Reverse data,3000,shaker-sort,40299,9003001
Reverse data,3000,shell-sort,173,118443
Reverse data,3000,heap-sort,581,155788
Reverse data,3000,merge-sort,809,119708
Reverse data,3000,quick-sort,260,94411
Reverse data,3000,counting-sort,47,18003
Reverse data,3000,radix-sort,254,42057
Reverse data,3000,flash-sort,104,31071
Reverse data,5000,bubble-sort,63353,25004999
Reverse data,5000,insertion-sort,26516,25004999
Reverse data,5000,selection-sort,22634,25004999
Reverse data,5000,shaker-sort,68644,25005001
Reverse data,5000,shell-sort,220,217613
Reverse data,5000,heap-sort,574,278536
Reverse data,5000,merge-sort,720,210420
Reverse data,5000,quick-sort,272,172944
Reverse data,5000,counting-sort,55,30003
Reverse data,5000,radix-sort,267,70057
Reverse data,5000,flash-sort,113,51781
Reverse data,10000,bubble-sort,272124,100009999
Reverse data,10000,insertion-sort,103515,100009999
Reverse data,10000,selection-sort,96832,100009999
Reverse data,10000,shaker-sort,294299,100010001
Reverse data,10000,shell-sort,495,475175
Reverse data,10000,heap-sort,1698,606771
Reverse data,10000,merge-sort,1536,450844
Reverse data,10000,quick-sort,565,368576
Reverse data,10000,counting-sort,108,60003
Reverse data,10000,radix-sort,530,140057
Reverse data,10000,flash-sort,228,103556
Reverse data,30000,bubble-sort,2.45703e+06,900029999
Reverse data,30000,insertion-sort,958644,900029999
Reverse data,30000,selection-sort,843289,900029999
Reverse data,30000,shaker-sort,2.64597e+06,900030001
Reverse data,30000,shell-sort,1798,1554051
Reverse data,30000,heap-sort,4315,2063324
Reverse data,30000,merge-sort,4632,1491692
Reverse data,30000,quick-sort,1806,1182771
Reverse data,30000,counting-sort,314,180003
Reverse data,30000,radix-sort,2340,510071
Reverse data,30000,flash-sort,686,310656
Reverse data,50000,bubble-sort,6.83088e+06,2500049999
Reverse data,50000,insertion-sort,2.65671e+06,2500049999
Reverse data,50000,selection-sort,2.43402e+06,2500049999
Reverse data,50000,shaker-sort,6.99371e+06,2500050001
Reverse data,50000,shell-sort,2832,2844628
Reverse data,50000,heap-sort,6926,3612724
Reverse data,50000,merge-sort,8063,2603388
Reverse data,50000,quick-sort,3128,2141035
Reverse data,50000,counting-sort,525,300003
Reverse data,50000,radix-sort,3321,850071
Reverse data,50000,flash-sort,1153,517756
